Locality,Muniplicity,Region
Bouffioulx,Henegouwen,Falnders
Bouge,Namen,Brussel
Bougnies,Henegouwen,Falnders
Bouillon,Luxemburg,Brussel
Bourlers,Henegouwen,Falnders
Bourseigne-Neuve,Namen,Brussel
Bourseigne-Vieille,Namen,Brussel
Boussoit,Henegouwen,Falnders
Boussu,Henegouwen,Falnders
Boussu-En-Fagne,Namen,Brussel
Boussu-Lez-Walcourt,Henegouwen,Falnders
Bousval,Waals-Brabant,Wallonia
Boutersem,Vlaams-Brabant,Brussel
Bouvignes-Sur-Meuse,Namen,Brussel
Bouvignies,Henegouwen,Falnders
Bouwel,Antwerpen,Falnders
Bovekerke,West-Vlaanderen,Wallonia
Bovelingen,Limburg,Falnders
Bovenistier,Luik,Wallonia
Bovesse,Namen,Brussel
Bovigny,Luxemburg,Brussel
Boëlhe,Luik,Wallonia
Bra,Luik,Wallonia
Braffe,Henegouwen,Falnders
Braibant,Namen,Brussel
Braine-l'alleud,Waals-Brabant,Wallonia
Braine-le-château,Waals-Brabant,Wallonia
Braine-le-comte,Henegouwen,Falnders
Braives,Luik,Wallonia
Brakel,Oost-Vlaanderen,Brussel
Branchon,Namen,Brussel
Bras,Luxemburg,Brussel
Brasmenil,Henegouwen,Falnders
Brasschaat,Antwerpen,Falnders
Bray,Henegouwen,Falnders
Brecht,Antwerpen,Falnders
Bredene,West-Vlaanderen,Wallonia
Bree,Limburg,Falnders
Breendonk,Antwerpen,Falnders
Bressoux,Luik,Wallonia
Brielen,West-Vlaanderen,Wallonia
Broechem,Antwerpen,Falnders
Broekom,Limburg,Falnders
Brugelette,Henegouwen,Falnders
Brugge,West-Vlaanderen,Wallonia
Brussegem,Vlaams-Brabant,Brussel
Brussel,Brussel,Falnders
Brustem,Limburg,Falnders
Bruyelle,Henegouwen,Falnders
Brye,Henegouwen,Falnders
Brûly,Namen,Brussel
Brûly-De-Pesche,Namen,Brussel
Budingen,Vlaams-Brabant,Brussel
Buggenhout,Oost-Vlaanderen,Brussel
